Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__419, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__450, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____208, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Magnifying Glass, DOM Id: BUTTONsubmit____43, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Search Bar, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Side Bar, DOM Id: filter_col, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Tool Tips, DOM Id: UL____222, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Top Menu, DOM Id: UL____21, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the View Bar, DOM Id: LI____200, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Wishlist, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__419, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__450, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____208, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Magnifying Glass, DOM Id: BUTTONsubmit____43, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Search Bar, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Side Bar, DOM Id: filter_col, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Tool Tips, DOM Id: UL____222, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Top Menu, DOM Id: UL____21, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the View Bar, DOM Id: LI____200, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Wishlist, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__419, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__450, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____208, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Magnifying Glass, DOM Id: BUTTONsubmit____43, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Search Bar, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Side Bar, DOM Id: filter_col, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Tool Tips, DOM Id: UL____222, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Top Menu, DOM Id: UL____21, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the View Bar, DOM Id: LI____200, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Wishlist, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__419, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__450, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____208, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Magnifying Glass, DOM Id: BUTTONsubmit____43, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Search Bar, DOM Id: INPUTtext____42, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Side Bar, DOM Id: filter_col, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Tool Tips, DOM Id: UL____222, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Top Menu, DOM Id: UL____21, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the View Bar, DOM Id: LI____200, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Wishlist, DOM Id: A__wishlist__52, Browser: Edge, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__419, Browser: Edge, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__450, Browser: Edge, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Edge, Viewport: 786x700, Device: Tablet, Status: Pass
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____208, Browser: Edge, Viewport: 786x700, Device: Tablet, Status: Pass
