\Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__420, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__451, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____209, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Verify the Magnifying Glass, DOM Id: BUTTONsubmit____43, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Search Bar, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Side Bar, DOM Id: filter_col, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Tool Tips, DOM Id: UL____223, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Fail
Task: 1, Test Name: Verify the Top Menu, DOM Id: UL____21, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the View Bar, DOM Id: LI____201, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Wishlist, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: Verify the Bottom Nav Bar, DOM Id: DIV__row__420, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Email Bar, DOM Id: DIV__formgroup__451, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Filter Icon, DOM Id: ti-filter, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Filter Text, DOM Id: SPAN____209, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: Verify the Magnifying Glass, DOM Id: BUTTONsubmit____43, Browser: Chrome, Viewport: 500x700, Device: Mobile, Status: Fail
